name,category,match_type,value,source,mode,scope,evidence_level,support,confidence,notes,alias_group,tier,enabled_by_default,specificity,expected_frequency,recommended_action
NL:massbank_MSBNK-AAFC-AC000001,NL,mass_diff,1.0067,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Mellein; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,mass_diff:1.0050,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000001_133_0648,CF,peak_mz,133.0648,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Mellein; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:133.0650,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000001_151_0754,CF,peak_mz,151.0754,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Mellein; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:151.0750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000001_155_9743,CF,peak_mz,155.9743,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Mellein; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:155.9750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000002_155_9745,CF,peak_mz,155.9745,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Mellein; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,peak_mz:155.9750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000003_105_0699,CF,peak_mz,105.0699,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Mellein; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:105.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000005_115_0542,CF,peak_mz,115.0542,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Mellein; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:115.0550,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000006_506_3324,CF,peak_mz,506.3324,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:506.3300,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000007_276_2686,CF,peak_mz,276.2686,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,peak_mz:276.2700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000007_294_2792,CF,peak_mz,294.2792,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,peak_mz:294.2800,extended,True,medium,medium,keep
